Date,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms),Jogging duration (ms),Swimming duration (ms),Paced walking duration (ms)
2019-04-26,,664.6761023090278,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-27,,1504.4999460703095,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-28,1,1508.4466435644165,,,,,,,,,,,1.4391158216239899,2.119999885559082,0.6200000047683716,447,62.0,62.0,62.0,,37654933,82170,,,,
2019-04-29,13,1544.915364549052,519.5118985176086,,,,,,,,,,0.599660093698956,1.276031255722046,0.2521626353263855,1476,,,,,82140350,1225143,,,,
2019-04-30,,,,,,,,,,,,,,,,3,,,,,,,,,,
2020-01-04,,1504.5,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-05,,1504.5,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-06,,1504.5,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-07,,1075.037532170139,,,,,,,,,,,,,,,64.99945068359375,64.99945068359375,64.99945068359375,,,,,,,
2020-01-08,,588.0542064534759,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-09,,1534.4945068359375,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-10,,1534.494460055737,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-11,,1534.494393610738,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-12,51,1929.6828929562034,3784.2252315804362,9.0,9,78.97872340425532,109.0,71.0,44.7458195,20.4032622,44.7503265,20.4114871,0.665790698215517,4.192550182342529,0.012074830010533333,5138,65.0,65.0,65.0,,28502981,3260033,2160000,,,
2020-01-13,32,1939.1605709493874,3126.5850120186806,14.0,14,84.08313253012048,94.0,71.0,44.7465361,20.4083733,44.7886459,20.4192509,1.2953651437924507,16.04268455505371,0.014444444328546524,3845,,,,,49247391,5593321,1020000,,,
2020-01-14,40,2060.7152612164527,3599.9869989156723,22.0,22,80.775,94.0,76.0,44.7464842,20.4061229,44.7510126,20.4115591,1.2534500722646893,6.594413757324219,0.019032921642065048,4489,,,,,51235631,5464866,2101124,,,
2020-01-15,109,2155.7986600380113,6383.404899835587,38.0,38,78.6,85.0,48.0,44.7433196,20.39547,44.7628354,20.4159789,1.2921462389901976,13.916977882385254,0.005316092167049646,9589,,,,,38364976,7914505,1860000,,,
2020-01-16,133,1777.5797734262032,11534.05459035933,91.0,91,77.33183183183183,113.0,59.0,44.7442949,20.4033266,44.7641155,20.4374318,0.7947496956622052,13.96764850616455,0.019506173208355904,14645,,,,,46888669,8948740,,,,
2020-01-17,162,1754.7419102997296,12535.0674150754,72.0,71,69.88918106686701,106.0,48.0,44.6913113,20.4059444,44.796242,20.5663136,0.954906895336387,12.746404647827148,0.004743589553982019,16118,,,,,30264912,11511159,600000,,,
2020-01-18,14,1636.4857530752818,2063.8672515582066,11.0,11,75.1125,94.0,61.0,44.7479899,20.4089745,44.7496969,20.4103626,0.4796425861575956,1.6979912519454956,0.01529284194111824,2963,,,,,57378719,2485429,,,,
2020-01-19,39,1897.1790561561204,2541.9913769960403,18.0,18,78.85849056603773,85.0,69.0,44.7468396,20.4107227,44.7502883,20.4216867,0.6167428749081654,5.531726360321045,0.011710037477314472,4387,,,,,47765121,4772202,1020000,,,
2020-01-20,28,1714.2228732939147,1722.679407119751,6.0,6,76.29127725856698,86.0,57.0,44.7484437,20.4092586,44.7502886,20.4110754,0.29496577752054753,1.4221901893615723,0.0027027027681469917,2595,,,,,60168878,3980731,,,,
2020-01-21,121,2059.3220391032737,10961.227040469646,85.0,85,74.91061452513966,94.0,52.0,44.7431148,20.4046288,44.7807342,20.4799133,0.7321716975208945,22.854862213134766,0.013523809611797333,12823,,,,,63820860,9756988,240000,,,
2020-01-22,49,1733.4922243565177,3615.751348733902,27.0,27,84.69791666666667,98.0,55.0,44.7477829,20.4048573,44.7502877,20.4107273,1.1377058100073412,10.984538078308105,0.004430379252880812,5538,,,,,59590118,5146779,480000,,,
2020-01-23,3,1985.289202753703,321.5690541267395,,,71.61904761904762,94.0,48.0,44.7501901,20.4107602,44.7502705,20.4111125,1.3303832348152442,2.9557225704193115,0.007068062666803598,833,,,,,50528981,1923681,3000000,,,
2020-01-24,133,1972.2282355119785,10516.247457265854,90.0,90,76.51463414634146,94.0,63.0,44.7464917,20.3994828,44.7630835,20.4156859,0.6697478555986451,6.286886215209961,0.004337899386882782,13424,,,,,44090210,9246251,,,,
2020-01-25,10,1599.6128590642381,874.0631852149963,7.0,7,74.76086956521739,94.0,55.0,44.7477328,20.4082231,44.7502693,20.4111102,0.9737760478451895,2.5617992877960205,0.008201058022677898,1899,,,,,54235955,2212613,,,,
2020-01-26,9,1674.3796935390621,809.1347723007202,8.0,8,68.98684210526316,93.0,55.0,44.7477798,20.408716,44.7502724,20.4110866,0.9080162607989549,5.452844142913818,0.005939716473221779,1495,,,,,52566709,1917841,360000,,,
2020-01-27,116,1857.879395438052,9300.380477756262,67.0,67,87.1875,118.0,71.0,44.7477427,20.4004883,44.7847368,20.4182398,0.7332595810412429,13.688270568847656,0.010964912362396717,10464,,,,,51360094,6725297,909425,,,
2020-01-28,35,1653.5637376269656,2606.0124588012695,12.0,12,,,,44.7482591,20.4093432,44.7502971,20.4128902,0.45307032345864207,5.319140434265137,0.010449735447764397,3533,,,,,57953556,2074109,,51873,,
2020-01-29,153,1754.7769708070373,3197.3595793545246,104.0,104,80.25,106.0,64.0,44.7491839,20.4054172,44.7690104,20.4153467,0.6656555121389387,15.557037353515625,0.005668934900313616,13046,,,,,47984354,4797967,60482,,,
2020-01-30,141,2264.0613932711176,10885.547107964754,74.0,74,83.61363636363636,94.0,64.0,44.7475621,20.4080578,44.7952333,20.4367439,0.45513744241372195,7.4536824226379395,0.0057046981528401375,12572,,,,,48963088,11154005,1380000,,,
2020-01-31,11,1567.6374379827537,1436.6740778684616,4.0,4,87.61458333333333,95.0,70.0,44.7493067,20.410949,44.7502307,20.4124891,0.24293842980037564,4.634735584259033,0.016568483784794807,2222,,,,,56906889,1869772,77840,,,
2020-02-01,53,1884.5038618161034,4237.264946162701,24.0,24,72.4375,78.0,58.0,44.7418939,20.4107545,44.7503036,20.4201854,0.46418526780934743,4.473875045776367,0.0,5277,,,,,54878183,5832813,1080000,,,
2020-02-02,78,2026.9343228245295,6869.4987705258845,47.0,47,79.05855855855856,95.0,56.0,44.7402302,20.4101728,44.8228676,20.4671746,1.0385405765687636,15.092291831970215,0.009336419403553009,8435,,,,,46258109,6220826,1680000,,,
2020-02-03,33,1774.0917119267287,2333.0408313365456,12.0,12,68.99789029535864,94.0,55.0,44.7478064,20.4083141,44.7502898,20.411132,0.519341341133726,6.563875198364258,0.007608695421367884,3829,,,,149090,54467055,4930651,1200000,113,,
2020-02-04,1,1638.1280577217194,670.4489616300154,,,70.24747474747475,105.0,47.0,44.7501824,20.4110795,44.7501891,20.411092,0.826831812561986,19.716371536254883,0.005249343812465668,1073,,,,,57597809,240000,900000,,,
2020-02-05,19,1814.2135046559076,1801.808397397847,12.0,12,69.74271844660194,78.0,53.0,44.7500265,20.4107476,44.7502817,20.411132,0.6000014193080028,1.9652601480484009,0.020879121497273445,3358,,,,,51869684,1464972,3000000,,,
2020-02-06,49,1863.1134522264203,5683.8909277915955,27.0,27,77.42314261315116,106.0,53.0,44.7434629,20.4108507,44.7591322,20.4479015,0.8687173363463361,42.0,0.04775280877947807,5810,,,,,55399583,7105741,,,,
2020-02-07,9,1616.3073987692187,1102.7873649597168,8.0,8,74.7048076923077,94.0,57.0,44.7500223,20.4110332,44.7501033,20.4111143,0.6685859347500228,2.695037364959717,0.0130208320915699,1596,,,,,55311801,1583565,61326,,,
2020-02-08,71,2120.7375912807047,7231.438109291717,55.0,55,81.68604651162791,94.0,59.0,44.7443889,20.410062,44.7590083,20.4300372,0.4221988109019146,3.8635239601135254,0.025370370596647263,8753,,,,,49826984,6741075,2219067,8037,,
2020-02-09,115,1991.6611201245337,8499.50471191667,33.0,29,79.33604887983707,125.0,55.0,43.3149681,20.4110557,44.7501424,21.8988007,5.6192189331607025,29.35056495666504,0.016083916649222374,11464,,,,,33744786,8203983,2820000,,,
2020-02-10,113,2037.8721590605874,8806.196097195148,33.0,33,74.49292452830188,106.0,55.0,43.3118704,21.894412,43.3263462,21.9064712,0.4572414143491324,4.258178234100342,0.0,10305,,,,,46785493,11198781,,,,
2020-02-11,151,2033.2417261242867,12924.998068332672,94.0,94,71.86778846153847,94.0,50.0,43.3083822,21.8932243,43.3204178,21.9482356,0.5895649038058718,7.349339962005615,0.012634988874197006,15620,,,,,49925503,11063930,,,,
